uuid,event_id,value
30842d86-e073-4b6e-a5e0-d6b354f6847a,10,edg6EF885E2.tmp
5462a185-34e4-4a8a-a64d-5857950d210b,13,%ALLUSERSPROFILE%\DRM\AShld\BlackBox.dll
5462a19f-1db0-42cd-80bf-4910950d210b,13,%ALLUSERSPROFILE%\DRM\AShld\BlackBox.BOX
5464bb6e-0058-43dd-b5dc-5d0f950d210b,13,%ALLUSERSPROFILE%\DRM\usta\ushata.dll
5464bb6e-4d04-487d-aa4f-5d0f950d210b,13,%ALLUSERSPROFILE%\DRM\usta\ushata.dll.avp
5464bb6e-ce84-43ea-b047-5d0f950d210b,13,%ALLUSERSPROFILE%\DRM\AShld\AShldRes.DLL
5464bb6e-14e4-4f87-b644-5d0f950d210b,13,%ALLUSERSPROFILE%\DRM\AShld\AShldRes.DLL.asr
5464bb6e-d914-4ed8-be54-5d0f950d210b,13,%ALLUSERSPROFILE%\DRM\KavSky\msi.dll
5464bb6e-e144-42d9-b5f0-5d0f950d210b,13,%ALLUSERSPROFILE%\DRM\KavSky\msi.dll.eng
5464bb6e-6eb0-4681-9a3d-5d0f950d210b,13,%WINDOWS%\AppPatch\AcProtect.dll
5464bb6e-a3a8-42a7-a54d-5d0f950d210b,13,%WINDOWS%\AppPatch\msimain.mui
5464bb6f-cda8-4e5a-88c2-5d0f950d210b,13,%WINDOWS%\AppPatch\Custom\{099BF1AE-6A93-493D-0C48-2453E7FBC801}.sdband
5464bb6f-1e1c-488b-9251-5d0f950d210b,13,%PROFILE%\Local Settings\Temp\3.tmp
5464bb6f-1dc8-470a-8135-5d0f950d210b,13,%PROFILE%\Local Settings\Temp\msvcpdl100.dll
5464bb6f-2db8-4a65-96b0-5d0f950d210b,13,C:\MsBuild\Microsoft\Windows\System32\svchost.exe
5464bb6f-fc2c-4d68-8cf1-5d0f950d210b,13,%PROFILE%\Application Data\winlog.exe
5464bb6f-b204-47b7-baad-5d0f950d210b,13,%PROFILE%\Application Data\winlog.dll
5464bb6f-1af0-4cd6-8381-5d0f950d210b,13,%ALLUSERSPROFILE%\RasTls\RasTls.dll
5464bb6f-4e34-41c7-9cad-5d0f950d210b,13,%ALLUSERSPROFILE%\RasTls\RasTls.dll.msc
5464a7ed-9588-4885-be90-4c22950d210b,15,%TEMP%\ristialm.sys
546b3e6a-9c60-4780-91cc-4571950d210b,20,%USERPROFILE%\My Documents\My Pictures\wins
546b3e6a-46f8-4eb4-bec9-4bc8950d210b,20,%USERPROFILE%\Pictures\wins
546b3e6a-36f0-4d0e-93ea-4399950d210b,20,%WINDIR%\msagent\netwn.drv
546b3e6a-2548-4928-8878-4272950d210b,20,%USERPROFILE%\NetHood\Microsoft\Windows\Help\set.fl
546b3e6a-ab3c-464d-a842-4025950d210b,20,%APPDATA%\Microsoft\Windows\Network Shortcuts\Microsoft\Windows\Help\set.fl
546b3e6a-80dc-4f45-b956-43e0950d210b,20,%USERPROFILE%\Local Settings\Application Data\Microsoft\Windows\Chars\ferf.st
546b3e6a-34c8-4d66-b38d-4d45950d210b,20,%LOCALAPPDATA%\Microsoft\Windows\Chars\ferf.st
546b3e6a-d28c-40fa-9646-4a9b950d210b,20,%USERPROFILE%\Local Settings\Application Data\Microsoft\Windows\Chars\fert.st
546b3e6a-f838-4499-bdb5-4756950d210b,20,%LOCALAPPDATA%\Microsoft\Windows\Chars\fert.st
546b3e6b-c2f0-49e6-99b8-4927950d210b,20,%USERPROFILE%\Local Settings\Application Data\Microsoft\Windows\Help\update.exe
546b3e6b-8278-48fc-8a53-4d0b950d210b,20,%LOCALAPPDATA%\Microsoft\Windows\Help\update.exe
548e9b43-d4b4-4fd7-8d39-4950950d210b,34,%ALLUSERSPROFILE%\msitygyd.exe
54bf5b49-57c4-4b9c-a422-ed9b950d210b,42,ipvpn.dll
54bf5b49-edc8-462c-b987-ed9b950d210b,42,srsvc.dll
54bf5b49-7968-4324-88e0-ed9b950d210b,42,kmsvc.dll
54bf5c99-cb10-4624-99c0-6ec8950d210b,42,bootmisc.sdi
54bf5c99-09b4-46b4-90b0-6ec8950d210b,42,C_56743.NLS
54bf5c99-d088-4afa-94cc-6ec8950d210b,42,b9s3coff.ax
54bf5c99-6ee0-49ba-b47c-6ec8950d210b,42,a67ncodc.ax
54bf5c99-5574-4298-a0f0-6ec8950d210b,42,vndkrmn.dic
54bf5c99-7214-4418-bc8b-6ec8950d210b,42,qavsrc.dat
54bf5c99-06a0-462b-9659-6ec8950d210b,42,miniport.dat
54bf5c99-bd70-4db0-aa40-6ec8950d210b,42,asmcerts.rs
54bf5c99-71dc-4d6f-9040-6ec8950d210b,42,getcert.rs
54cb35eb-a9f0-4877-8ad1-4b9d950d210b,44,%appdata%\Microsoft\svchost.exe
54cb35eb-bcb8-4b6a-8d62-49d9950d210b,44,%appdata%\Microsoft\f0xyupdate.exe
54e1a42f-d028-4fda-ab40-4a72950d210b,47,ansi.nls
54e1a42f-8168-4254-ac41-4968950d210b,47,dayipmr.tbl
54e1a42f-d668-4806-9d14-4f42950d210b,47,netmonsvc.dll
54e1a42f-fbe0-41f8-a0c8-439b950d210b,47,pmsconfig.msi
54e1a42f-88c8-490f-b24f-4cd5950d210b,47,pmslog.msi
54e1a42f-d918-4c44-b106-4a5c950d210b,47,rdmgr.dll
54e1a430-5cf0-4c2f-959b-4d51950d210b,47,remoteevtmanager.dll
54e1a430-7e34-4f23-bda3-425c950d210b,47,tmscompg.msi
54e1a4d1-4284-43c9-a77a-fae5950d210b,47,comon32.exe
54e1a4d1-48d4-49d8-864a-fae5950d210b,47,diskpartmg16.exe
54e1a4d1-ad7c-4595-a65c-fae5950d210b,47,dpnsvr16.exe
54e1a4d1-9748-4092-978b-fae5950d210b,47,expandmn32.exe
54e1a4d1-21c0-404f-b2d2-fae5950d210b,47,hwrcompsvc64.exe
54e1a4d2-9554-44d8-9496-fae5950d210b,47,mobsynclm64.exe
54e1a4d2-d004-4aef-b376-fae5950d210b,47,rdpshellex32.exe
54e1a4d2-42d0-4147-b45a-fae5950d210b,47,recdiscm32.exe
54e1a4d2-56bc-4405-9c3e-fae5950d210b,47,taskchg16.exe
